idx	outcome	cause	test	rc	dur_s	sub_passed	sub_failed	metric	reason
83	PASS	ok	families::quality_vs_scoringrules_pit_gaussian_location_scale::gam_location_scale_pit_is_calibrated_on_holdout_on_real_data	0	1	1	0		
84	METRIC_OFF	quality_metric	families::quality_vs_sklearn_binomial_logit::gam_binomial_logit_generalizes_on_heldout_prostate	101	6	0	1	edf=3.099 klearn=0.6909 klearn=-0.0297 klearn=0.0572 klearn_binomial_logit.rs:284:5 	thread 'families::quality_vs_sklearn_binomial_logit::gam_binomial_logit_generalizes_on_heldout_prostate' (47313) panicked at tests/quality/families/quality_vs_sklearn_binomial_logit.rs:284:5: :: gam held-out AUC below objective bar: 0.6917 < 0.70
85	PASS	ok	families::quality_vs_sklearn_binomial_logit::gam_binomial_logit_generalizes_on_heldout_prostate_on_real_data	0	5	1	0	edf=3.099 klearn=0.6100 	
86	PASS	ok	families::quality_vs_sklearn_poisson_log::gam_poisson_log_recovers_truth	0	2	1	0	edf=5.278 	
87	PASS	ok	families::quality_vs_sklearn_poisson_log::gam_poisson_log_recovers_truth_on_real_data	0	2	1	0	edf=2.826 klearn_dev=3.3659 klearn=0.4527 	
88	PASS	ok	families::quality_vs_statsmodels_binomial_probit::gam_binomial_probit_recovers_truth	0	4	1	0	edf=5.240 	
89	GAM_ERROR	gam_fit_failed	families::quality_vs_statsmodels_binomial_probit::gam_binomial_probit_recovers_truth_on_real_data	101	85	0	1		thread 'families::quality_vs_statsmodels_binomial_probit::gam_binomial_probit_recovers_truth_on_real_data' (47594) panicked at tests/quality/families/quality_vs_statsmodels_binomial_probit.rs:437:10: :: gam probit fit on prostate train: IntegrationFailed { reason: 'Outer smoothing-parameter optimization did not certify a stationary optimum (standard REML): gradient g =6.233e-5 Pg =6.233e-5 bound=7
90	PASS	ok	families::quality_vs_statsmodels_custom_family_poisson_loglink::custom_poisson_identity_link_recovers_truth_and_predicts	0	1	1	0		
91	PASS	ok	families::quality_vs_statsmodels_custom_family_poisson_loglink::custom_poisson_identity_link_recovers_truth_and_predicts_on_real_data	0	6	1	0	edf=2.826 	
92	PASS	ok	families::quality_vs_statsmodels_gamma_log::gam_gamma_log_matches_statsmodels	0	2	1	0	edf=6.217 se_sd=0.803 	
93	PASS	ok	families::quality_vs_statsmodels_gamma_log_coefficient_se::gamma_log_coefficient_se_matches_statsmodels_no_double_count	0	0	1	0		
94	PASS	ok	families::quality_vs_statsmodels_multinomial::multinomial_coefficient_covariance_equals_observed_information_inverse	0	1	1	0		
95	PASS	ok	families::quality_vs_statsmodels_multinomial::multinomial_logit_recovers_true_softmax_and_beats_statsmodels	0	0	1	0	logloss=1.12624 logloss=1.06701 logloss=1.12624 rel_l2_vs_sm=0.00000 	
96	PASS	ok	families::quality_vs_statsmodels_multinomial::multinomial_logit_recovers_true_softmax_and_beats_statsmodels_on_real_data	0	1	1	0	acc=0.9767 acc=0.9767 logloss=0.13159 logloss=0.13159 rel_l2_vs_sm=0.00000 	
97	PASS	ok	families::quality_vs_statsmodels_multinomial::multinomial_per_class_probability_se_intervals_are_calibrated_over_refits	0	4	1	0	coverage=0.920 coverage=0.967 coverage=0.907 coverage=0.927 coverage=0.953 coverage=0.967 coverage=0.953 coverage=0.960 coverage=0.933 coverage=0.967 coverage=0.953 coverage=0.927 coverage=0.9444 	
98	PASS	ok	families::quality_vs_statsmodels_ordinal_mnlogit::gam_multinomial_recovers_true_class_simplex	0	1	1	0	rmse=0.08973 rmse=0.09050 rel_l2=0.02589 rmse=0.13383 rmse=0.08973 rmse=0.09050 	
99	PASS	ok	families::quality_vs_statsmodels_ordinal_mnlogit::gam_multinomial_recovers_true_class_simplex_on_real_data	0	1	1	0	acc=0.6250 logloss=0.9207 logloss=1.9296 rel_l2=0.4506 	
100	PASS	ok	families::quality_vs_statsmodels_tweedie::gam_tweedie_matches_statsmodels_power_variance	0	44	1	0	edf=4.535 se_sigma=2.9966 	
101	PASS	ok	families::quality_vs_statsmodels_tweedie::gam_tweedie_matches_statsmodels_power_variance_on_real_data	0	74	1	0	edf=4.950 	
102	GAM_ERROR	gam_fit_failed	families::quality_vs_synthetic_multinomial_deviance_identity::multinomial_recovers_decision_boundary_on_held_out_split	101	344	0	1	deviance_identity.rs:230:55 	thread 'families::quality_vs_synthetic_multinomial_deviance_identity::multinomial_recovers_decision_boundary_on_held_out_split' (48224) panicked at tests/quality/families/quality_vs_synthetic_multinomial_deviance_identity.rs:230:55: :: multinomial predict (test): Invalid input: multinomial predictive: row 10 has predictive mass 0.9481090015592125 ( Σ_c E[p_c] − 1 = 5.1890998440787484e-2 > 5e-2)
103	METRIC_OFF	quality_metric	families::quality_vs_vgam_beta_logistic_link_parameterization::gam_beta_logistic_link_matches_vgam_beta_parameterization	101	3	0	1	edf=2.953 rmse_const=0.131384 nll_gam=1.013174 nll_const=0.578222 rmse_const=0.111677 	thread 'families::quality_vs_vgam_beta_logistic_link_parameterization::gam_beta_logistic_link_matches_vgam_beta_parameterization' (48313) panicked at tests/quality/families/quality_vs_vgam_beta_logistic_link_parameterization.rs:319:5: :: beta-logistic fit no better than the constant model on truth recovery: rmse(p_hat,p_true)=0.200031 vs 0.85*rmse_const=0.111677
104	METRIC_OFF	quality_metric	families::quality_vs_vgam_multinomial_smooth_by_factor::gam_multinomial_smooth_by_factor_recovers_truth	101	6	0	1	rmse=0.32588 rmse=0.07435 	thread 'families::quality_vs_vgam_multinomial_smooth_by_factor::gam_multinomial_smooth_by_factor_recovers_truth' (48372) panicked at tests/quality/families/quality_vs_vgam_multinomial_smooth_by_factor.rs:435:5: :: gam is less accurate at recovering the truth than the VGAM baseline: rmse(gam, truth)=0.32588 > 1.10 * rmse(vgam, truth)=0.07435
105	PASS	ok	families::quality_vs_vgam_multinomial_softmax::gam_multinomial_softmax_heterogeneous_smoothness_beats_fixed_df	0	5	1	0		
106	METRIC_OFF	quality_metric	families::quality_vs_vgam_multinomial_softmax::gam_multinomial_softmax_recovers_true_simplex	101	2	0	1		thread 'families::quality_vs_vgam_multinomial_softmax::gam_multinomial_softmax_recovers_true_simplex' (48500) panicked at tests/quality/families/quality_vs_vgam_multinomial_softmax.rs:509:9: :: class 0: total penalized EDF=2.875 ≤ all-collapsed floor 4.000 — the class's smooths are over-shrunk onto their null spaces (#715). Per-penalty EDF=[1.2855213410850692, 0.6063462705782047, 0.32464407756
107	GAM_ERROR	gam_fit_failed	families::quality_vs_vgam_multinomial_softmax::gam_multinomial_softmax_recovers_true_simplex_on_real_data	101	0	0	1		thread 'families::quality_vs_vgam_multinomial_softmax::gam_multinomial_softmax_recovers_true_simplex_on_real_data' (48574) panicked at tests/quality/families/quality_vs_vgam_multinomial_softmax.rs:1032:6: :: gam multinomial fit on penguins train: Invalid input: multinomial REML: Firth/Jeffreys-armed refit (separation evidence: no smoothing parameter reaches 4/24 identifiable direction(s), and on t
108	PASS	ok	manifolds::quality_vs_geomstats_crabs_spd_manifold::crabs_group_covariances_match_geomstats_spd_geometry	0	1	1	0	frechet_variance=3.009961 frechet_variance=3.010831 	
109	PASS	ok	manifolds::quality_vs_geomstats_crabs_spd_manifold::crabs_group_covariances_match_geomstats_spd_geometry_on_real_data	0	1	1	0	acc=1.000 acc=1.000 	
110	PASS	ok	manifolds::quality_vs_geomstats_poincare_exp_log_roundtrip::gam_poincare_exp_log_satisfies_manifold_axioms	0	0	1	0	rel_l2=7.484e-9 	
111	PASS	ok	manifolds::quality_vs_geomstats_poincare_geodesic::poincare_geodesic_is_a_correct_metric	0	2	1	0	rmse=2.899e-16 ess = 0.000e0 l2=2.441e-16 rmse=8.162e-16 rmse=2.512e-16 ess = 0.000e0 l2=1.665e-16 rmse=8.284e-16 rmse=3.382e-16 ess = 0.000e0 l2=1.568e-16 rmse=6.880e-16 	
112	PASS	ok	manifolds::quality_vs_mgcv_global_city_temp_sphere_s2::gam_sphere_smooth_predicts_global_city_temp_better_than_mgcv_sos	0	1	1	0	edf=31.224 edf=31.467 R2=0.7925 rmse=3.3839 rmse=3.4327 	
113	PASS	ok	manifolds::quality_vs_mgcv_global_city_temp_sphere_s2::gam_sphere_smooth_predicts_global_city_temp_better_than_mgcv_sos_on_real_data	0	2	1	0	edf=32.824 edf=30.763 rmse=2.7364 rmse=3.2278 	
